relative_path,size_kilobytes
README.md,2.49
config/experiment_config.json,1.39
config/zero_shot_aspect_vocabulary.csv,0.61
data_splits/test.csv,326.79
data_splits/training.csv,778.19
data_splits/validation.csv,574.46
graph_samples_24/00000.pt,8.18
graph_samples_24/00001.pt,8.62
graph_samples_24/00064.pt,9.74
graph_samples_24/00551.pt,6.37
graph_samples_24/00710.pt,9.43
graph_samples_24/01208.pt,10.74
graph_samples_24/01426.pt,8.74
graph_samples_24/01503.pt,9.12
graph_samples_24/02009.pt,9.43
graph_samples_24/02065.pt,10.74
graph_samples_24/02274.pt,8.74
graph_samples_24/02651.pt,10.99
graph_samples_24/03095.pt,9.74
graph_samples_24/03226.pt,8.24
graph_samples_24/03254.pt,9.37
graph_samples_24/03859.pt,9.43
graph_samples_24/03980.pt,9.8
graph_samples_24/04069.pt,7.55
graph_samples_24/04596.pt,12.3
graph_samples_24/04640.pt,8.18
graph_samples_24/05007.pt,8.74
graph_samples_24/05292.pt,11.05
graph_samples_24/05348.pt,10.99
graph_samples_24/05351.pt,9.18
graph_samples_24/graph_sample_manifest.csv,0.92
metrics/bad_graphs.csv,0.01
metrics/dataset_summary.json,0.15
metrics/final_metrics.json,1.54
metrics/graph_audit.csv,179.12
metrics/graph_build_failures.csv,0.02
metrics/graph_coherence.json,0.04
metrics/joint_embedding_tsne_coordinates.csv,49.04
metrics/modality_diagnostics.json,0.2
metrics/retrieval_metrics.csv,0.4
metrics/training_history.csv,3.0
metrics/zero_shot_aspect_metrics.csv,0.33
metrics/zero_shot_per_aspect_metrics.csv,2.21
plots/caption_length_distribution.png,34.89
plots/contrastive_loss.png,48.37
plots/example_self_similarity.png,46.93
plots/graph_node_distribution.png,32.58
plots/graph_similarity_density.png,37.55
plots/joint_embedding_tsne.png,258.28
plots/musiccaps_split_counts.png,36.28
plots/paired_vs_nonpaired_similarity.png,39.71
plots/temperature_curve.png,51.93
plots/test_retrieval_metrics.png,40.59
plots/validation_retrieval.png,84.79
plots/zero_shot_audio_tag_pr.png,271.39
preprocessing/training_node_scaler.joblib,2.94
requirements.txt,0.14
retrieval_examples/caption_to_audio_top3.csv,19.2
