relative_path,size_kilobytes
README.md,2.51
case_studies/case_1.json,3.96
case_studies/case_1_graph.png,183.73
case_studies/case_2.json,3.94
case_studies/case_2_graph.png,183.78
case_studies/case_3.json,4.24
case_studies/case_3_graph.png,205.92
config/experiment_config.json,1.49
config/genre_mapping.json,0.71
config/tag_vocabulary.json,0.98
data_splits/test.json,176.21
data_splits/training.json,1342.68
data_splits/validation.json,169.25
examples/cross_attention_test_predictions.csv,51.7
folder_manifest.csv,2.59
graph_samples_24/000003.pt,9.19
graph_samples_24/000136.pt,12.75
graph_samples_24/000139.pt,8.19
graph_samples_24/000237.pt,11.0
graph_samples_24/000397.pt,13.25
graph_samples_24/000425.pt,12.32
graph_samples_24/000734.pt,7.5
graph_samples_24/000823.pt,12.32
graph_samples_24/001042.pt,12.0
graph_samples_24/001043.pt,10.38
graph_samples_24/001044.pt,11.57
graph_samples_24/001045.pt,10.82
graph_samples_24/001046.pt,12.44
graph_samples_24/001047.pt,12.5
graph_samples_24/001048.pt,9.94
graph_samples_24/003446.pt,14.69
graph_samples_24/003459.pt,16.69
graph_samples_24/003842.pt,9.38
graph_samples_24/004536.pt,12.07
graph_samples_24/004850.pt,9.82
graph_samples_24/005009.pt,8.19
graph_samples_24/010230.pt,7.0
graph_samples_24/018045.pt,12.0
graph_samples_24/020695.pt,11.38
graph_samples_24/graph_sample_manifest.csv,0.74
metrics/artist_overlap_audit.json,0.12
metrics/audio_decode_audit.csv,1094.32
metrics/bad_graphs.csv,0.01
metrics/bert_only_training_history.csv,1.82
metrics/cross_attention_genre_report.csv,1.02
metrics/cross_attention_per_tag_metrics.csv,2.73
metrics/cross_attention_training_history.csv,2.39
metrics/early_concat_training_history.csv,2.0
metrics/final_metrics.json,1.71
metrics/fusion_tsne_coordinates.csv,61.04
metrics/genre_split_distribution.csv,0.34
metrics/gnn_only_training_history.csv,1.83
metrics/graph_audit.csv,668.64
metrics/graph_build_failures.csv,2.91
metrics/tag_class_weights.csv,0.84
metrics/task3_ablation_results.csv,0.84
metrics/task3_main_result_summary.csv,0.84
plots/bert_only_training.png,76.01
plots/cross_attention_genre_confusion.png,133.15
plots/cross_attention_tag_pr_curves.png,227.29
plots/cross_attention_training.png,75.41
plots/early_concat_training.png,73.15
plots/eda_genre_distribution.png,94.54
plots/eda_target_tag_frequency.png,158.19
plots/eda_text_length.png,36.73
plots/example_self_similarity.png,42.89
plots/fusion_tsne_genre.png,394.41
plots/gnn_only_training.png,72.31
plots/graph_node_distribution.png,38.87
plots/graph_similarity_density.png,40.26
plots/task3_ablation_comparison.png,87.24
preprocessing/graph_node_scaler.joblib,2.94
requirements.txt,0.12
